# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  105       3.764335953652e-10       1.121032529147e-13      -3.480977513710e-12       4.713319823721e-16       9.507497021230e-12       1.380368788342e-12      -6.960620019700e-15 
  106       3.806387826404e-10       1.139274646894e-13      -3.567645330365e-12       4.805085127612e-16       9.270845133387e-12       1.352963364228e-12      -6.826183816782e-15 
  107       3.848667683574e-10       1.157208963109e-13      -3.653930182571e-12       4.897862043350e-16       9.041567826081e-12       1.326360583423e-12      -6.718026702363e-15 
  108       3.891172172718e-10       1.174818457364e-13      -3.739767903061e-12       4.991656735168e-16       8.819599386912e-12       1.300548427202e-12      -6.633431949754e-15 
  109       3.933896766393e-10       1.192086191086e-13      -3.825094309023e-12       5.086475466759e-16       8.604818844939e-12       1.275508050436e-12      -6.569382696767e-15 
  110       3.976835719245e-10       1.208995318770e-13      -3.909845244067e-12       5.182324601410e-16       8.397048192885e-12       1.251213563563e-12      -6.522554225779e-15 
  111       4.019982025091e-10       1.225529099187e-13      -3.993956620192e-12       5.279210602159e-16       8.196050609334e-12       1.227631814536e-12      -6.489306243814e-15 
  112       4.063327374002e-10       1.241670906592e-13      -4.077364459742e-12       5.377140031934e-16       8.001528680933e-12       1.204722170797e-12      -6.465675162610e-15 
  113       4.106862109387e-10       1.257404241940e-13      -4.160004937380e-12       5.476119553703e-16       7.813122624588e-12       1.182436301226e-12      -6.447366378697e-15 
  114       4.150575185076e-10       1.272712744091e-13      -4.241814422044e-12       5.576155930617e-16       7.630408509666e-12       1.160717958110e-12      -6.429746553469e-15 
  115       4.194454122402e-10       1.287580201024e-13      -4.322729518918e-12       5.677256026159e-16       7.452896480196e-12       1.139502759100e-12      -6.407835893260e-15 
  116       4.238486722580e-10       1.301990841344e-13      -4.402685560671e-12       5.779426815611e-16       7.280138157455e-12       1.118732941824e-12      -6.377325292695e-15 
  117       4.282666531776e-10       1.315930225065e-13      -4.481611783369e-12       5.882675421739e-16       7.112067462703e-12       1.098404128983e-12      -6.337784565064e-15 
  118       4.326987962985e-10       1.329384482683e-13      -4.559435640124e-12       5.987009083738e-16       6.948698086503e-12       1.078523866031e-12      -6.289831591050e-15 
  119       4.371444573098e-10       1.342340058110e-13      -4.636084327269e-12       6.092435146549e-16       6.790017212453e-12       1.059097072547e-12      -6.234143684120e-15 
  120       4.416029035501e-10       1.354783722363e-13      -4.711484812622e-12       6.198961061095e-16       6.635984704726e-12       1.040125956580e-12      -6.171458932168e-15 
  121       4.460733112680e-10       1.366702587247e-13      -4.785563863731e-12       6.306594384536e-16       6.486532295614e-12       1.021609928993e-12      -6.102577539155e-15 
  122       4.505547628825e-10       1.378084119050e-13      -4.858248076133e-12       6.415342780507e-16       6.341562773073e-12       1.003545517811e-12      -6.028363166753e-15 
  123       4.550462442430e-10       1.388916152226e-13      -4.929463901601e-12       6.525214019371e-16       6.200949168266e-12       9.859262825606e-13      -5.949744275984e-15 
  124       4.595466418899e-10       1.399186903089e-13      -4.999137676403e-12       6.636215978463e-16       6.064533943104e-12       9.687427286223e-13      -5.867715468862e-15 
  125       4.640547403148e-10       1.408884983496e-13      -5.067195649554e-12       6.748356642332e-16       5.932128177795e-12       9.519822215693e-13      -5.783338830033e-15 
  126       4.685692192210e-10       1.417999414541e-13      -5.133564011065e-12       6.861644102996e-16       5.803510758382e-12       9.356289015154e-13      -5.697745268419e-15 
